StartupID,Industry,Age,Location,Funding,EmployeeCount,ProductCount,Patents,Partnerships,AnnualRevenue,ProfitMargin,MarketShare,CustomerSatisfaction,SuccessScore
1,Finance,17,Asia,188.1655094,343,7,5,8,26.65742443,6.514470699,28.99171191,71.30576394,63.72139065
2,Education,9,Asia,52.22970339,47,8,1,3,65.2165756,-11.42924554,8.125782238,64.37767282,86.09240607
3,Tech,1,North America,86.21653414,376,5,14,2,77.06751893,25.85509588,33.70988114,58.01602357,65.51136301
4,Finance,20,Europe,174.609685,423,7,1,3,21.94819581,27.39847,6.673443964,64.1077792,67.4476988
5,Finance,13,Europe,168.4657466,492,8,1,3,64.29271789,18.35772836,40.29288527,61.66258456,71.06072009
6,Education,16,Europe,37.62723286,82,9,9,9,51.92057751,31.20793319,49.48682989,86.70367655,89.9094471
7,Tech,13,Europe,160.6273403,318,3,6,1,28.33012288,24.24237832,18.86938125,51.53875891,79.56273572
8,Tech,14,Asia,91.9082839,293,3,12,0,2.019271474,32.93234423,22.23779491,80.8731374,60.94962319
9,Finance,3,Asia,96.85228998,274,4,1,9,70.58566211,6.033282909,2.321682774,88.0330671,80.21917804
10,Health,6,Asia,27.1292545,166,5,14,0,103.1621106,24.85582769,0.686659404,74.03617282,78.54559438
11,Finance,18,Asia,16.58000199,193,1,14,7,34.71532279,39.98509381,46.07096674,96.578249,95.86115655
12,Finance,19,Asia,145.7238917,251,7,11,1,20.63921765,23.49587185,6.431203022,85.39403476,90.48498616
13,Finance,5,Europe,99.54399989,392,9,14,9,133.1693689,-13.14897319,22.28893738,87.39618257,78.84681543
14,Finance,15,Europe,87.65171517,220,8,12,4,41.9786911,11.09912335,40.76773119,59.84667437,60.49042664
15,Education,2,Europe,146.0368916,319,5,1,3,34.31828035,15.24086747,44.465938,88.86477879,86.77458693
16,Tech,10,Europe,153.2198233,417,4,14,7,128.707444,-9.547359496,25.96988426,91.6047368,74.51249758
17,Education,18,Asia,32.20217945,343,7,8,1,122.7489578,37.77349805,28.25162625,68.06331942,99.11619929
18,Education,13,Asia,122.2399173,394,5,6,9,67.80362411,-9.465213342,33.48419862,60.6681534,54.85036771
19,Education,5,Asia,27.50313941,381,7,10,8,73.89659035,-9.346524817,48.06912351,69.25253396,44.77935046
20,Finance,1,North America,150.3993297,485,1,2,6,33.44455702,34.91002828,30.13349805,86.98039845,44.19350871
21,Health,1,Europe,131.5625537,437,1,2,6,12.6669489,7.912325987,27.97376297,70.88195029,78.4018233
22,Tech,18,Europe,191.3446169,172,3,6,0,86.44134198,-16.20870324,0.726706763,86.83259376,96.35561373
23,Health,15,Asia,14.25712426,343,2,4,1,15.65339332,15.89125,4.047485101,55.67822705,40.11591486
24,Education,17,Europe,11.88241687,197,2,9,3,67.9419075,16.10958092,28.85858133,90.30058552,83.54626282
25,Education,11,Europe,56.7963214,457,7,13,3,141.1340826,-16.12995448,46.81201939,62.66037408,79.42391095
26,Health,17,Asia,52.71028391,287,2,13,2,142.972324,38.35134974,43.33456742,62.44644939,83.93825153
27,Health,13,North America,49.77227041,340,4,5,6,36.6605107,12.64179792,49.12894615,79.51904826,61.32432441
28,Health,1,North America,181.2977888,394,2,12,7,93.99289959,13.58774333,26.39170188,53.50590229,89.22978668
29,Education,2,North America,50.28446687,492,6,11,1,71.63736335,11.20692487,39.39654692,51.31488633,42.68241589
30,Education,9,Asia,54.75397036,17,8,7,3,131.477084,16.64390678,42.02001657,63.05143326,85.32586604
31,Tech,3,Europe,151.9999534,244,4,8,2,41.44319878,-4.142014834,32.40158287,76.90337754,56.02431648
32,Tech,1,Asia,90.22309857,324,5,0,1,1.551658618,-2.765519122,16.93749521,95.38081931,68.61026649
33,Education,16,Asia,155.4537561,450,4,2,5,25.22161968,10.68034539,23.49892173,92.32175882,89.35817629
34,Health,6,Europe,13.54054843,487,3,10,3,53.07889737,28.40115129,42.89585361,74.522323,56.28154211
35,Health,17,North America,97.77045314,151,5,6,5,48.04244834,-17.00812541,14.9273963,51.85259968,51.1124507
36,Tech,5,North America,7.205913237,208,9,5,1,118.9130749,16.20425273,46.18715656,76.76263673,80.87879112
37,Education,5,Asia,12.99931409,84,8,6,3,102.4035393,28.40668855,11.49031707,85.23978,72.00369349
38,Tech,6,North America,181.3342719,383,8,7,5,45.63389162,-10.58496368,37.47582076,66.95822663,70.86423212
39,Tech,3,Asia,28.27945154,47,8,5,4,69.20382876,-19.09864748,31.52796172,55.55316516,55.40617093
40,Finance,5,Asia,106.7179261,462,8,2,2,15.23830649,-1.237202292,37.47997206,63.92839766,42.09281835
41,Finance,5,Europe,82.51357272,93,7,1,7,134.8238203,15.2886224,21.86737862,88.57944322,64.6161483
42,Finance,10,Europe,69.79499359,152,8,11,6,140.3782988,-11.7030096,46.63205313,67.56219161,46.39356883
43,Health,10,Europe,180.0167525,99,8,6,2,146.9907268,5.567342258,31.62361012,90.59907453,94.35934904
44,Education,19,Asia,4.853767657,456,8,11,5,130.4143718,13.13928984,14.41479023,65.97607259,42.47501941
45,Education,17,Europe,132.9260424,432,7,11,3,26.92017227,15.93298569,31.92275353,58.17775192,65.89905125
46,Education,14,North America,192.6971896,155,1,11,4,7.883275997,-3.53529674,14.34078736,71.79241798,43.13473502
47,Education,9,North America,112.2535526,6,4,10,4,87.35991238,4.001778159,14.68161959,72.61372561,45.73263247
48,Finance,14,Asia,187.3960812,380,4,0,6,136.978149,26.70035374,19.97992558,50.80541093,79.53200002
49,Health,1,Asia,10.92544692,26,5,2,4,27.42535289,36.47288165,42.62152088,55.85225364,78.82667566
50,Health,19,Europe,84.04926716,375,6,11,2,2.049394279,31.71281987,25.01489372,59.24630094,41.98313169
51,Finance,13,Asia,52.4014793,317,4,10,9,121.0189109,13.8570101,33.94504211,55.67936587,40.06788851
52,Health,13,Asia,146.2987825,489,2,3,4,12.44255696,4.617568177,19.59838701,67.07630377,44.72908463
53,Finance,4,North America,196.2687696,332,6,12,6,62.64219875,-0.022603138,13.18027199,98.23114278,85.77993386
54,Education,1,North America,51.67774746,11,8,13,4,102.1542132,-12.50260603,47.73200804,75.46112692,75.07458837
55,Finance,17,Europe,131.007833,210,8,0,4,36.28284023,-13.60692517,30.17906236,81.37780119,42.28709471
56,Education,8,Asia,40.02047774,444,7,4,8,13.51042195,21.30145749,46.69756693,67.81932393,69.28582095
57,Education,2,Asia,113.2833858,379,6,9,2,115.733163,-4.41233503,10.17065011,66.17438808,82.72176142
58,Tech,8,North America,93.05453109,455,2,2,5,94.89608765,-4.720298814,7.344708196,51.1573386,92.13708368
59,Finance,7,Asia,194.4150633,118,7,1,0,148.2850822,39.89170327,42.79114536,75.01668278,96.04218944
60,Tech,2,North America,121.9011909,276,5,14,9,52.30189696,-8.724442528,34.04586063,74.18045034,59.64643378
61,Finance,3,Europe,70.22652123,87,6,2,4,10.20259556,-11.11641443,9.328924963,57.89153631,48.1499457
62,Finance,18,North America,23.26210909,183,8,7,7,110.4181553,-14.07888633,13.46798503,88.21620001,54.21555524
63,Tech,12,Asia,30.67374233,214,8,5,4,78.73827941,14.78832071,40.03319708,74.63371652,86.57028952
64,Tech,1,Europe,45.45072753,468,3,12,8,32.76738578,17.67182956,22.693431,66.94969851,98.2890529
65,Finance,12,North America,50.56784894,332,7,13,5,117.4776194,1.913675575,33.52702533,57.34544545,67.98361704
66,Health,5,North America,170.1979035,128,1,6,7,31.35956739,12.12480013,15.91760111,77.60804135,58.32119281
67,Education,17,Europe,112.4639463,485,1,11,9,39.83858657,27.30397186,19.06149764,87.6408513,65.75143492
